country,language,percent
United States,Vietnamese,0.1160092807424593
Australia,Gujarati,0.1112966054535336
Australia,German,0.1112966054535336
Australia,Telugu,0.1112966054535336
Australia,Marathi,0.1112966054535336
Australia,Filipino; Pilipino,0.1112966054535336
Australia,Spanish; Castilian,0.1112966054535336
Australia,Japanese,0.1112966054535336
Australia,Afrikaans,0.1112966054535336
Uruguay,Other,0.1003009027081243
Uruguay,English,0.1003009027081243
Chile,Italian,0.1
Chile,German,0.1
New Zealand,Japanese,0.0969932104752667
Maldives,Bengali; Bangla,0.0963391136801541
Maldives,Malayalam,0.0963391136801541
Indonesia,Lampung,0.093837973099781
Venezuela,Italian,0.0840336134453781
Czechia,English,0.0833333333333333
Philippines,Romblomanon,0.0833333333333333
Iraq,Assyrian Neo-Aramaic,0.0833333333333333
Czechia,German,0.0833333333333333
Philippines,Maranao,0.0833333333333333
Slovakia,Romani; Romany,0.0833333333333333
Slovakia,Other,0.0833333333333333
Jordan,German,0.0831255195344971
Tunisia,Berber; Amazigh; Tamaziɣt,0.0830564784053156
Zimbabwe,Kalanga,0.0823045267489712
Guatemala,Portuguese,0.0820344544708777
Guatemala,Kaqchikel,0.0820344544708777
Guatemala,French,0.0820344544708777
Kenya,Hindi,0.0789889415481832
Kenya,Arabic,0.0789889415481832
Kazakhstan,Tatar,0.0783699059561128
Kazakhstan,Lezgian; Lezgi; Lezgin,0.0783699059561128
Kazakhstan,Persian; Farsi; Dari,0.0783699059561128
Kazakhstan,Korean,0.0783699059561128
Kazakhstan,Tajik,0.0783699059561128
Canada,Italian,0.0746640119462419
Peru,Other,0.0714285714285714
Thailand,Standard Chinese; Mandarin; Putonghua; Guoyu,0.0666666666666666
Colombia,"Other local; aboriginal; tribal, community",0.0661375661375661
Colombia,German,0.0661375661375661
Indonesia,Standard Chinese; Mandarin; Putonghua; Guoyu,0.0625586487331873
Indonesia,Toraja-Saʼdan,0.0625586487331873
Brazil,Spanish; Castilian,0.0567536889897843
Brazil,English,0.0567536889897843
Brazil,German,0.0567536889897843
Brazil,Japanese,0.0567536889897843
Australia,Central Khmer,0.0556483027267668
Australia,Auslan,0.0556483027267668
Australia,Armenian; Hayeren,0.0556483027267668
Australia,Swedish,0.0556483027267668
Australia,Czech,0.0556483027267668
Australia,Yiddish,0.0556483027267668
Australia,Other,0.0556483027267668
Australia,Lao,0.0556483027267668
Australia,Urdu,0.0556483027267668
Australia,Maltese,0.0556483027267668
Australia,Tamil,0.0556483027267668
Australia,Somali,0.0556483027267668
Australia,Malay; Malaysian,0.0556483027267668
Australia,Malayalam,0.0556483027267668
Australia,"Punjabi, Panjabi",0.0556483027267668
Australia,Serbian,0.0556483027267668
Australia,Estonian,0.0556483027267668
Australia,Danish,0.0556483027267668
Australia,French,0.0556483027267668
Pakistan,Kashmiri,0.0501504513540621
Bolivia,Guarani,0.0484496124031007
Great Britain,Unlisted Language,0.0387596899224806
Great Britain,Unlisted Language,0.0387596899224806
United States,Japanese,0.0386697602474864
