country,language,count,percent
Netherlands,Unlisted Language,1869,93.03135888501743
Netherlands,English,31,1.5430562468889994
Netherlands,Spanish; Castilian,4,0.1991040318566451
Netherlands,French,3,0.14932802389248384
Netherlands,German,6,0.2986560477849677
Netherlands,Other,91,4.529616724738676
New Zealand,English,987,95.73229873908826
New Zealand,Japanese,1,0.09699321047526674
New Zealand,Standard Chinese; Mandarin; Putonghua; Guoyu,11,1.066925315227934
New Zealand,Maori,3,0.2909796314258002
New Zealand,Other,26,2.521823472356935
New Zealand,"Other local; aboriginal; tribal, community",3,0.2909796314258002
Nicaragua,English,4,0.33333333333333337
Nicaragua,Spanish; Castilian,1194,99.5
Nicaragua,Other,2,0.16666666666666669
Nigeria,English,130,10.543390105433902
Nigeria,Hausa,417,33.81995133819951
Nigeria,Igbo,142,11.516626115166261
Nigeria,Isoko,2,0.16220600162206003
Nigeria,Nigerian Pidgin,62,5.02838605028386
Nigeria,Tiv,18,1.4598540145985401
Nigeria,Urhobo,8,0.6488240064882401
Nigeria,Yoruba,297,24.087591240875913
Nigeria,Other,157,12.73317112733171
Pakistan,Balochi,49,2.457372116349047
Pakistan,Brahui,4,0.20060180541624875
Pakistan,Kashmiri,1,0.05015045135406219
Pakistan,"Punjabi, Panjabi",850,42.62788365095286
Pakistan,"Pashto, Pushto",281,14.092276830491473
Pakistan,Saraiki,246,12.337011033099298
Pakistan,Sindhi,311,15.59679037111334
Pakistan,Urdu,199,9.979939819458375
Pakistan,Other,53,2.657973921765296
Peru,Aymara,12,0.8571428571428572
Peru,Spanish; Castilian,1321,94.35714285714286
Peru,Quechua,66,4.714285714285714
Peru,Other,1,0.07142857142857142
Philippines,Bikol; Bicolano,32,2.666666666666667
Philippines,Romblomanon,1,0.08333333333333334
Philippines,Blaan,4,0.33333333333333337
Philippines,Cebuano; Bisaya; Binisaya,327,27.250000000000004
Philippines,Chavacano; Chabacano,2,0.16666666666666669
Philippines,Filipino; Pilipino,460,38.333333333333336
Philippines,Hiligaynon; Ilonggo,119,9.916666666666666
Philippines,Ilocano; Ilokano; Iloko,63,5.25
Philippines,Itneg,18,1.5
Philippines,Kamayo,14,1.1666666666666667
Philippines,Kapampangan,20,1.6666666666666667
Philippines,Maguindanao,24,2.0
Philippines,Maranao,1,0.08333333333333334
Philippines,Sama-Bajaw,32,2.666666666666667
Philippines,Surigaonon,12,1.0
Philippines,Tausug,14,1.1666666666666667
Philippines,Waray,50,4.166666666666666
Philippines,Yakan,7,0.5833333333333334
Puerto Rico,English,14,1.2466607301869992
Puerto Rico,Spanish; Castilian,1040,92.60908281389136
Puerto Rico,Other,69,6.144256455921639
Romania,Hungarian,95,7.581803671189145
Romania,"Romanian, Moldavian, Moldovan",1155,92.17877094972067
Romania,Romansh,3,0.23942537909018355
Russia,Avar; Avaric,16,0.8839779005524863
Russia,Chechen,25,1.3812154696132597
Russia,Russian,1683,92.98342541436465
Russia,Tatar,37,2.0441988950276246
Russia,Other,49,2.707182320441989
Serbia,Albanian,4,0.3864734299516908
Serbia,Hungarian,24,2.318840579710145
Serbia,Romani; Romany,6,0.5797101449275363
Serbia,Serbian,996,96.23188405797102
Serbia,Slovak,5,0.4830917874396135
Singapore,English,857,42.59443339960239
Singapore,Malay; Malaysian,181,8.996023856858846
Singapore,Standard Chinese; Mandarin; Putonghua; Guoyu,692,34.39363817097416
Singapore,Tamil,86,4.274353876739562
Singapore,Other,26,1.2922465208747516
Singapore,Other Chinese dialects,170,8.449304174950298
Slovakia,Czech,2,0.16666666666666669
Slovakia,Hungarian,79,6.583333333333333
Slovakia,"Romanian, Moldavian, Moldovan",11,0.9166666666666666
Slovakia,Romani; Romany,1,0.08333333333333334
Slovakia,Slovak,1106,92.16666666666666
Slovakia,Other,1,0.08333333333333334
Vietnam,Muong,3,0.25
Vietnam,Thai; Central Thai,15,1.25
Vietnam,Vietnamese,1182,98.5
Zimbabwe,Karanga; Korekore,10,0.823045267489712
Zimbabwe,Ndau; chiNdau,5,0.411522633744856
Zimbabwe,Chitoko,4,0.3292181069958848
Zimbabwe,Kalanga,1,0.0823045267489712
Zimbabwe,North Ndebele,161,13.251028806584362
Zimbabwe,Shona; chiShona,996,81.9753086419753
Zimbabwe,Tonga,17,1.3991769547325104
Zimbabwe,Venda; Tshivenda,4,0.3292181069958848
Zimbabwe,Other,17,1.3991769547325104
Tajikistan,Pamiri languages,40,3.3333333333333335
Tajikistan,Russian,15,1.25
Tajikistan,Tajik,1017,84.75
Tajikistan,Uzbek,128,10.666666666666668
Thailand,Esan,482,32.13333333333333
Thailand,Malay; Malaysian,65,4.333333333333334
Thailand,Standard Chinese; Mandarin; Putonghua; Guoyu,1,0.06666666666666667
Thailand,Northern Thai; Lanna,134,8.933333333333334
Thailand,Southern Thai; Dambro; Pak Thai,132,8.799999999999999
