lang1,lang2,weight
myv,mzn,6068
mzn,nah,37855
mzn,na,968
na,nah,3219
mzn,nap,28250
nah,nap,36786
nap,nds,28092
nds,ne,7066
nds,nds-nl,19716
nds-nl,ne,10133
ne,new,11273
new,nia,1252
new,nl,23084
new,ng,224
ng,nia,134
ng,nl,15
nia,nl,116
nl,nn,493
nn,no,1125
no,nrm,820
no,nov,1327
nov,nrm,11006
no,nr,96
nov,nr,593
no,nqo,341
nov,nqo,1873
nr,nrm,351
nqo,nrm,1360
nqo,nr,402
nov,nso,4303
nrm,nso,22834
nso,oc,9578
nso,nv,2779
nso,ny,1203
nv,ny,4101
nv,oc,1890
ny,oc,1743
oc,or,3579
oc,olo,3708
olo,or,15766
oc,om,3974
om,or,7924
olo,om,6233
or,os,48025
os,pa,16233
pa,pag,3472
pag,pap,8089
pag,pam,24791
pag,pfl,925
pag,pi,981
pam,pap,23485
pam,pfl,3489
pam,pi,3795
pap,pfl,3743
pap,pi,5524
pfl,pi,3087
pag,pcd,2699
pag,pdc,1972
pam,pcd,9767
pam,pdc,5950
pap,pcd,11622
pap,pdc,8812
pcd,pdc,7959
pcd,pfl,4575
pcd,pi,4000
pdc,pfl,5785
pdc,pi,4506
pag,pcm,280
pam,pcm,1067
pap,pcm,1157
pcd,pcm,800
pcm,pi,653
pag,pl,400
pam,pl,1452
pap,pl,1879
pcm,pdc,1684
pcm,pfl,460
pag,pih,262
pam,pih,657
pap,pih,772
pcd,pih,582
pdc,pih,1365
pi,pih,1497
pfl,pih,692
pcm,pih,6
pi,pl,20437
pdc,pl,352
pcd,pl,306
pfl,pl,149
pl,pms,1400
pms,pnb,4254
pnb,pnt,3387
pnb,ps,12157
pnt,ps,6183
pt,qu,1962
pt,pwn,154
pwn,qu,1010
qu,rm,11730
qu,rmy,6340
rm,rmy,7309
qu,rn,4574
rm,rn,5441
rmy,rn,4458
qu,ro,8020
rm,ro,717
rn,ro,544
rmy,ro,172
ro,roa-tara,3047
ro,rsk,177
ro,ru,24
ro,roa-rup,2488
roa-rup,roa-tara,5806
roa-rup,rsk,702
roa-tara,rsk,809
roa-rup,ru,249
roa-tara,ru,857
ru,rue,1062
rue,sa,18381
rue,rw,12380
rw,sa,8378
sa,sah,38016
sa,sat,4027
sah,sat,14934
sat,sc,8052
sat,scn,2817
sc,scn,33882
sat,sco,280
scn,sco,23732
sc,sco,3072
sco,sd,13724
sd,se,31145
sd,sg,3139
se,sg,6311
sd,sh,4931
se,sh,17536
sg,sh,296
sh,shi,2265
shn,si,21427
si,simple,2110
simple,sk,485
sk,skr,2059
sk,sl,869
skr,sl,3275
sl,sm,3452
sl,smn,4737
sm,smn,6987
smn,sn,13988
smn,so,9924
sn,so,19786
smn,sq,8495
sn,sq,8733
